Setpoint [Deg], [dB], Measured
22, 14,       -26.07
22, 15,       -26.47
22, 18,       -26.89
22, 23,       -28.10
22, 24,       -29.91
22, 25,       -33.86
22, 8,       -41.94
10, 14,       -26.24
10, 15,       -26.57
10, 18,       -27.11
10, 23,       -27.99
10, 24,       -29.91
10, 25,       -34.45
10, 8,       -42.11
9, 14,       -25.92
9, 15,       -26.27
9, 18,       -26.87
9, 23,       -27.80
9, 24,       -29.66
9, 25,       -33.93
9, 8,       -41.73
11, 14,       -27.05
11, 15,       -27.18
11, 18,       -27.90
11, 23,       -28.77
11, 24,       -30.69
11, 25,       -34.98
11, 8,       -42.74
0, 14,       -25.96
0, 15,       -26.37
0, 18,       -26.97
0, 23,       -27.75
0, 24,       -29.82
0, 25,       -34.03
0, 8,       -41.89
5, 14,       -28.09
5, 15,       -28.65
5, 18,       -29.17
5, 23,       -30.04
5, 24,       -32.18
5, 25,       -36.11
5, 8,       -43.99
6, 14,       -27.46
6, 15,       -27.78
6, 18,       -28.25
6, 23,       -29.28
6, 24,       -31.30
6, 25,       -35.45
6, 8,       -43.26
13, 14,       -25.47
13, 15,       -25.63
13, 18,       -26.30
13, 23,       -27.20
13, 24,       -29.32
13, 25,       -33.20
13, 8,       -41.21
